Монитор 23.8'' IPS Philips 243V7QDSB/01; Led; Black,,"
																							11 990р.																																",http://nix.dn.ua/monitori/monitor-tft-238-ips-philips-243v7qdsb01-led-black
Монитор  23.8'' IPS Asus VA24EHE (90LM0560-B01170),,"
																							12 500р.																																",http://nix.dn.ua/monitori/monitor-tft-238-ips-asus-va24ehe-90lm0560-b01170
"Монитор 23.5"" VA Samsung Сurved C24F390FHM",,"
																							12 990р.																																",http://nix.dn.ua/monitori/monitor-235-va-samsung-surved-c24f390fhm
"Монитор  23.8"" IPS LG 24MP400-B; Black",,"
																							12 990р.																																",http://nix.dn.ua/monitori/monitor--238-ips-lg-24mp400-b-black
"Монитор 23.5"" *IPS Samsung S24R356FZI",,"
																							13 500р.																																",http://nix.dn.ua/monitori/monitor-235-ips-samsung-s24r356fzi
"Монитор TFT 23.8"" IPS Philips 243B9",,"
																							13 990р.																																",http://nix.dn.ua/monitori/monitor-tft-238-ips-philips-243b9
"Монитор 27"" IPS Xiaomi Mi Desktop Monitor RMMNT27F (bhr4975eu)",,"
																							14 500р.																																",http://nix.dn.ua/monitori/monitor-27-ips-xiaomi-mi-desktop-monitor-rmmnt27f-bhr4975eu
"Монитор 23.6"" VA Philips 241E1SCA/00 (01)",,"
																							14 990р.																																",http://nix.dn.ua/monitori/monitor-tft-236-va-philips-241e1sca01-black
"Монитор 23.8"" IPS Philips 241E2 (241E2FD/00)",,"
																							14 990р.																																",http://nix.dn.ua/monitori/monitor-238-ips-philips-241e2-241e2fd00
"Монитор 27"" IPS Asus VA27EHE (90LM0550-B01170",,"
																							15 500р.																																",http://nix.dn.ua/monitori/monitor-27-ips-asus-va27ehe-90lm0550-b01170
"Монитор 27"" VA Samsung Curved C27F390F (LC27F390FHIXCI)",,"
																							15 990р.																																",http://nix.dn.ua/monitori/monitor-271
"Монитор 23,8"" IPS Cooler Master GM238-FFS; 144 Гц",,"
																							18 900р.																																",http://nix.dn.ua/monitori/monitor--2383
Flash-память Perfeo 16Gb; USB 2.0; Red (PF-E01R016ES),,"
																							300р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-16gb-usb-20-red-pf-e01r016es
Flash-память Perfeo 8Gb; USB 2.0; Black (PF-E01B008ES),,"
																							350р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-8gb-usb-20-black-pf-e01b008es
Flash-память Perfeo 32Gb; USB 2.0; Gren (PF-C03G032),,"
																							450р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-32gb-usb-20-gren-pf-c03g032
Flash-память Perfeo 32Gb ; USB 2.0; Red (PF-E01G032ES),,"
																							450р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-32gb-usb-20-red-pf-e01g032es
Flash-память Perfeo 32Gb ; USB 2.0; Black (PF-E01B032ES),,"
																							450р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-32gb-usb-20-black-pf-e01b032es
Flash-память Perfeo 32Gb; USB 2.0; Black (PF-C11B032),,"
																							450р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-32gb-usb-20-black-pf-c11b032
Карта памяти micro SDHC 32GB Kingston Canvas Select Plus Class 10 UHS-I U1 V10 A1 + SD-адаптер (SDCS2/32GB),,"
																							500р.																																",http://nix.dn.ua/hranenie-dannih/karta-pamyati-micro-sdhc-32gb-kingston-canvas-select-plus-class-10-uhs-i-u1-v10-a1-sd-adapter-sdcs232gb
Карта памяти micro SDHC 32Gb SanDisk Ultra; Class 10; (SDSQUNR-032G-GN3MN),,"
																							500р.																																",http://nix.dn.ua/hranenie-dannih/karta-pamyati-micro-sdhc-32gb-sandisk-ultra-sdsquns-032g-gn3mn-class-10
Flash-память Verbatim MINI Tattoo Edition (49897); 32Gb; USB 2.0; ,,"
																							500р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-verbatim-mini-tattoo-edition-49897-32gb-usb-20-karp-koi
Карта памяти micro SDHC 32GB Kingston Canvas Select Plus Class 10 UHS-I U1 V10 A1 (SDCS2/32GBSP),,"
																							500р.																																",http://nix.dn.ua/hranenie-dannih/karta-pamyati-micro-sdhc-32gb-kingston-canvas-select-plus-class-10-uhs-i-u1-v10-a1-sdcs232gbsp
Flash-память Transcend JetFlash 350 (TS32GJF350); 32Gb; USB 2.0; Black,,"
																							550р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-transcend-jetflash-350-ts32gjf350-32gb-usb-20-black
Карта памяти micro SDHC 32Gb Transcend 300S (TS32GUSD300S),,"
																							550р.																																",http://nix.dn.ua/hranenie-dannih/karta-pamyati-micro-sdhc-32gb-transcend-300s-ts32gusd300s
Flash-память Transcend 790 (TS32GJF790W); 32Gb; USB 3.0; White,,"
																							650р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-transcend-790w-ts32gjf790w-32gb-usb-30-white
Flash-память Perfeo 64Gb; USB 2.0; Black (PF-E01B064ES),,"
																							650р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-64gb-usb-20-black-pf-e01b064es
Flash-память Perfeo 64Gb; USB 2.0; Blue (PF-E01N064ES),,"
																							650р.																																",http://nix.dn.ua/hranenie-dannih/flash-pamyat-perfeo-64gb-usb-20-blue-pf-e01n064es
ИБП DeTech E650VA,,"
																							3 700р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-detech-e650va
ИБП Powercom RPT-600A,,"
																							4 500р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-600a
ИБП DeTech E850VA; (510W),,"
																							4 990р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-detech-e850va-510w-battery-1x70ah-12v-usb-rj-45
ИБП Powercom RPT-800A,,"
																							5 900р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-800a
ИБП Powercom Raptor RPT-600AP,,"
																							3 600р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-600ap
ИБП Powercom RPT-800AP,,"
																							4 990р.																																",http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-powercom-rpt-800ap
ИБП APC Smart-UPS SC 620VA (SC620I),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-apc-smart-ups-sc-620va-sc620i
ИБП Eaton 9130 1000VA (103006434-6591),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-eaton-9130-1000va-103006434-6591
ИБП Eaton 5E 1500VA USB (5E1500IUSB),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-eaton-5e-1500va-usb-5e1500iusb
ИБП PrologiX Standart 650 (Standart 650),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-prologix-standart-650-standart-650
ИБП ИБП Gemix EG850 Schuko,,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-ibp-gemix-eg850-schuko
ИБП Mustek PowerMust 424 EG (98-LIC-G0424),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-mustek-powermust-424-eg-98-lic-g0424
ИБП APC Back-UPS 1400VA (BX1400UI),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-apc-back-ups-1400va-bx1400ui
ИБП APC Back-UPS RS 550VA (BR550GI),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-apc-back-ups-rs-550va-br550gi
ИБП Mustek PowerMust 1590 LCD (98-LIC-C1590),,Нет цены,http://nix.dn.ua/ibp-stabilizatori-akkumuljatori/ibp-mustek-powermust-1590-lcd-98-lic-c1590
Активная акустическая система DeTech SP-1000; 2.0; Plastic; 2x1.5W; Power USB; Black,,"
																							250р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-detech-sp-1000g
Активная акустическая система Defender SPK 22; 2.0; 2*2.5W; USB; Black (65503),,"
																							300р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-defender-spk-22-black-65503
Активная акустическая система Perfeo ,,"
																							300р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-wave-20-2x3w-usb-black-pf-5127
"Активная акустическая система Perfeo ""MONITOR""; 2.0; 2x1,5W; USB; Black (PF_4830)",,"
																							490р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-monitor-20-2x15w-usb-black-pf-4830
Активная акустическая система Havit HVSPK-SK717-BK; 2.0; 2x3W; LED подсветка;Black,,"
																							600р.																																",http://nix.dn.ua/akustika?product_id=199493
Активная акустическая система Perfeo PF-235; Black,,"
																							600р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-pf-235-black
Активная акустическая система Sven 150; 2.0; 2x2.5W; USB; Black/Blue,,"
																							600р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-sven-150-20-2x25w-usb-blackblue
Активная акустическая система Havit HV-SK210 mini; 2.0; USB; 2x3W; Black,,"
																							600р.																																",http://nix.dn.ua/akustika?product_id=199497
Активная акустическая система Sven 170; Black&White,,"
																							650р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-sven-170-blackwhite
Активная акустическая система Perfeo PF-233; Black,,"
																							650р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-pf-233-black
"Активная акустическая система Perfeo ""Cabinet""; 2.0; 2x3W; USB; Wood (PF_4326)",,"
																							650р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-cabinet-20-2x3w-usb-wood-pf-a4326
"Активная акустическая система Perfeo ""Cabinet"" PF-A4388; 2.0; 2x3W; USB; Махагон",,"
																							650р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-cabinet-pf-a4388-20-2x3w-usb-mahagon
"Активная акустическая система Perfeo ""Cabinet"" PF-A4389; 2.0; 2x3W; USB; White",,"
																							650р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-cabinet-pf-a4389-20-2x3w-usb-white
"Активная акустическая система Perfeo ""Cabinet"" PF_4327; 2.0; 2x3W; USB; Black",,"
																							650р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-perfeo-cabinet-pf-a4327-20-2x3w-usb-black
Активная акустическая система Gembird SPK-206,,"
																							790р.																																",http://nix.dn.ua/akustika/aktivnaya-akusticheskaya-sistema-gembird-spk-206
Принтер лазерный HP LaserJet Pro M15a (W2G50A),,"
																							15 900р.																																",http://nix.dn.ua/orgtehnika1/printer-lazernyj-hp-laserjet-pro-m15a-w2g50a
МФУ лазерное HP LaserJet Pro M28a (W2G54A),,"
																							25 990р.																																",http://nix.dn.ua/orgtehnika1/mfu-lazernoe-hp-laserjet-pro-m28a-w2g54a
МФУ лазерное Canon i-SENSYS MF3010 (5252B004),,"
																							26 500р.																																",http://nix.dn.ua/orgtehnika1/mfu-lazernoe-canon-i-sensys-mf3010-5252b004
МФУ лазерное Pantum M6500,,"
																							13 188р.																																",http://nix.dn.ua/orgtehnika1/mfu-lazernoe-pantum-m6500-1
МФУ лазерное HP LaserJet Pro MFP M132fn (G3Q63A),,Нет цены,http://nix.dn.ua/orgtehnika1/mfu-lazernoe-hp-laserjet-pro-mfp-m132fn-g3q63a
Принтер лазерный Brother HL-1112R (HL1112R1),,Нет цены,http://nix.dn.ua/orgtehnika1/printer-lazernyj-brother-hl-1112r-hl1112r1
МФУ струйное HP DJ Ink Advantage 2645 (D4H22C),,Нет цены,http://nix.dn.ua/orgtehnika1/mfu-strujnoe-hp-dj-ink-advantage-2645-d4h22c
Принтер лазерный Xerox Phaser 3260DNI (3260V_DNI),,Нет цены,http://nix.dn.ua/orgtehnika1/printer-lazernyj-xerox-phaser-3260dni-3260v-dni
Принтер лазерный  Xerox Phaser 3020BI (3020V_BI),,Нет цены,http://nix.dn.ua/orgtehnika1/printer-lazernyj-xerox-phaser-3020bi-3020v-bi
Принтер лазерный Brother HL-L2365DWR (HLL2365DWR1),,Нет цены,http://nix.dn.ua/orgtehnika1/printer-lazernyj-brother-hl-l2365dwr-hll2365dwr1
Принтер лазерный HP LaserJet Pro M501dn (J8H61A),,Нет цены,http://nix.dn.ua/orgtehnika1/printer-lazernyj-hp-laserjet-pro-m501dn-j8h61a
МФУ лазерное Canon i-SENSYS MF226DN (9540B086),,Нет цены,http://nix.dn.ua/orgtehnika1/mfu-lazernoe-canon-i-sensys-mf226dn-9540b086
МФУ лазерное Brother DCP-1512R (DCP1512R1),,Нет цены,http://nix.dn.ua/orgtehnika1/mfu-lazernoe-brother-dcp-1512r-dcp1512r1
МФУ струйное HP DJ Ultra Ink Advantage 4729 (F5S66A),,Нет цены,http://nix.dn.ua/orgtehnika1/mfu-strujnoe-hp-dj-ultra-ink-advantage-4729-f5s66a
МФУ лазерное Brother MFC-L2700DWR (MFCL2700DWR1),,Нет цены,http://nix.dn.ua/orgtehnika1/mfu-lazernoe-brother-mfc-l2700dwr-mfcl2700dwr1
Вентилятор для корпуса; Deepcool WIND BLADE 120,,"
																							450р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-korpusa-deepcool-wind-blade-120
Вентилятор для корпуса; AeroCool Frost 12 PWM FRGB (4718009158085),,"
																							500р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-korpusa-aerocool-frost-12-pwm-frgb-4718009158085
Вентилятор для AMD&Intel; PCCooler E80,,"
																							500р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-amd-intel-pccooler-e80
Вентилятор для AMD&Intel; PCCooler E90,,"
																							550р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-amd-intel-pccooler-e90
Оперативная память DDR2 SDRAM 2Gb PC-6400 (800); Kingston (KVR800D2N6/2G) Б/У,,"
																							550р.																																",http://nix.dn.ua/komplektujushhie/operativnaya-pamyat-ddr2-sdram-2gb-pc-6400-800-kingston-kvr800d2n62g
Вентилятор для AMD&Intel; Zalman CNPS80F,,"
																							650р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-amd-intel-zalman-cnps80f
Вентилятор для Intel; Intel Original; Socket 1150/1151/1155/1156; 80mm; 4 pin (E97379-003),,"
																							650р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-intel-intel-original-socket-1150115111551156-80mm-4-pin-e97379-003
Вентилятор для AMD&Intel; DeepCool GAMMA ARCHER (DP-MCAL-GA),,"
																							750р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-amd-intel-deepcool-gamma-archer-dp-mcal-ga
Оперативная память DDR3 SDRAM 4Gb PC3-12800 (1600); Samsung (M378B5173QH0-CK0)  Б/У,,"
																							950р.																																",http://nix.dn.ua/komplektujushhie/operativnaya-pamyat-ddr3-sdram-4gb-pc3-12800-1600-samsung-m378b5173qh0-ck000
Вентилятор для AMD&Intel; Deepcool GAMMAXX 200T,,"
																							1 200р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-amd-intel-deepcool-gammaxx-200t
Вентилятор для AMD&Intel; DeepCool GAMMAXX 200 V2,,"
																							1 200р.																																",http://nix.dn.ua/komplektujushhie/ventilyator-dlya-amd-intel-deepcool-gammaxx-200v2
Блок питания ATX 400W DeTech (JX-H400A),,"
																							1 200р.																																",http://nix.dn.ua/komplektujushhie/blok-pitaniya-atx-400w-detech-jx-h400a
Блок питания ATX 400W Booster (ATX-400W8F); OEM,,"
																							1 300р.																																",http://nix.dn.ua/komplektujushhie/blok-pitaniya-atx-400w-booster-atx-400w8f-oem
Жесткий диск SSD 120.0 Gb; A-Data Ultimate SU650 (ASU650SS-120GT-R),,"
																							1 300р.																																",http://nix.dn.ua/komplektujushhie/zhestkij-disk-ssd-1200-gb-a-data-ultimate-su650-asu650ss-120gt-r
Блок питания ATX 450W DeTech (JX-H450A),,"
																							1 350р.																																",http://nix.dn.ua/komplektujushhie/blok-pitaniya-atx-450w-detech-jx-h450a
ПК на базе Intel Core i3-3240,,"
																							19 500р.																																",http://nix.dn.ua/gotovie-pk/pk-na-baze-intel-core-i3-3240
ПК на базе AMD Athlon 200GE,,"
																							22 900р.																																",http://nix.dn.ua/gotovie-pk?product_id=201495
ПК на базе Intel Core i5-3570,,"
																							25 500р.																																",http://nix.dn.ua/gotovie-pk/pk-na-baze-intel-corei5-3570
 ПК на базе Intel Pentium Gold G6405 ,,"
																							26 500р.																																",http://nix.dn.ua/gotovie-pk/-pk-na-baze-intel-pentium-gold-g6405-ozhidaetsja
 ПК на базе AMD Ryzen 5 3400G,,"
																							30 500р.																																",http://nix.dn.ua/gotovie-pk?product_id=201390
 ПК на базе Intel Core i3-10100,,"
																							30 500р.																																",http://nix.dn.ua/gotovie-pk?product_id=201873
 ПК на базе AMD Ryzen 5 5600G,,"
																							38 500р.																																",http://nix.dn.ua/gotovie-pk?product_id=201422
ПК на базе Intel Core i5-10400,,"
																							43 200р.																																",http://nix.dn.ua/gotovie-pk?product_id=201427
 ПК на базе AMD Ryzen 7 5700G,,"
																							47 500р.																																",http://nix.dn.ua/gotovie-pk?product_id=201445
ПК на базе Intel Core i3-10100F+GTX 1650 MSI 4Gb,,"
																							50 990р.																																",http://nix.dn.ua/gotovie-pk/pk-na-baze-intel-core-i3-10105fgtx-1650-msi-4gb
ПК на базе AMD Ryzen 5 3600+6Gb GTX 1660 Super,,"
																							61 500р.																																",http://nix.dn.ua/gotovie-pk/pk-na-baze-amd-ryzen-5-36006gb-gtx-1660-super-tovar-otlozhen
ПК на базе AMD Ryzen 5 5600X+12Gb RTX 3060 OC,,"
																							82 500р.																																",http://nix.dn.ua/gotovie-pk/pk-na-baze-amd-ryzen-5-560012gb-rtx-3060-rezerv
ПК на базе Intel Core i5-12400F+12Gb RTX 3060 OC,,"
																							82 990р.																																",http://nix.dn.ua/gotovie-pk/pk-na-baze-intel-core-i5-12400f12gb-rtx-3060
 ПК на базе AMD Ryzen 7 5700X+12Gb RTX 3060 OC,,"
																							92 700р.																																",http://nix.dn.ua/gotovie-pk/-pk-na-baze-amd-ryzen-7-5700x12gb-rtx-3060-oc
ПК на базе AMD Ryzen 7 7700X ,,"
																							96 500р.																																",http://nix.dn.ua/gotovie-pk/pk-na-baze-amd-ryzen-7-7700x-ozhidaetsja-2505
Ремешок Xiaomi Mi Band 3/Mi Band 4 (силикон),,"
																							150р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti/remeshok-xiaomi-mi-band-3mi-band-4-silikon
 Ремешок Xiaomi Mi Band 3/Mi Band 4 (силикон),,"
																							200р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=200508
Ремешок Xiaomi Mi Band 3/Mi Band 4 (силикон+металл),,"
																							300р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti/remeshok-xiaomi-mi-band-3mi-band-4-silikonmetall
Смарт Часы Xiaomi Amazfit Bip U (A2017) Black,,"
																							4 990р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=198683
Смарт Часы Xiaomi Amazfit Bip S (A1821) Red Orange,,"
																							5 500р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=200479
Смарт Часы Xiaomi Amazfit Bip U Pro (A2008) Black,,"
																							5 900р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=199733
Смарт Часы Xiaomi Amazfit GTS 2 Mini (A2018) Black,,"
																							7 990р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=200471
 Ремешок Xiaomi Mi Band 3/Mi Band 4 (с рисунком),,"
																							300р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=197226
 Ремешок Xiaomi Mi Band 3/Mi Band 4 (силикон),,"
																							300р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=200507
Ремешок Honor Band 4,,"
																							500р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti/remeshok-honor-band-4
Фитнес-браслет Ritmix RFB-001,,"
																							900р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti/fitnes-braslet-ritmix-rfb-001
Смарт Часы SmartYou A1; Black (SWA1BL),,"
																							990р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti?product_id=198436
Фитнес-браслет Honor Band 4,,"
																							1 200р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti/fitnes-braslet-honor-band-4-1
Фитнес-браслет Honor Band 4,,"
																							1 600р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti/fitnes-braslet-honor-band-4-3
Смарт Часы Смарт часы S4,,"
																							1 600р.																																",http://nix.dn.ua/smart-chasi-i-fitnes-brasleti/smart-chasy-smart-chasy-s4
Чехол универсальный 7'';,,"
																							400р.																																",http://nix.dn.ua/planshetnie-pk/chehol-universalnyj-7
Чехол для планшетного ПК Lenovo Tab 2 А10-30 Black (пошив),,"
																							450р.																																",http://nix.dn.ua/planshetnie-pk/chehol-dlya-planshetnogo-pk-lenovo-tab-2-a10-30-black-poshiv
Чехол для планшета Huawei T3 10; Black,,"
																							1 350р.																																",http://nix.dn.ua/planshetnie-pk/chehol-dlya-plansheta-huawei-t3-10-black
Чехол для планшета Lenovo Tab E10 TB-X104F Black,,"
																							1 350р.																																",http://nix.dn.ua/planshetnie-pk/chehol-dlya-plansheta-lenovo-tab-e10-tb-x104f-black
Планшетный ПК BQ HornetMaxPro White (BQ-1085L),,"
																							8 824р.																																",http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-bq-hornetmaxpro-white-bq-1085l
Планшетный ПК BQ Armor Print 14 (BQ-7082G),,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-bq-armor-print-14-bq-7082g
Планшетный ПК Gainward Galapad 7; Black,,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-gainward-galapad-7-black
Планшетный ПК Fly Life Connect 7 3G 2 White,,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-fly-life-connect-7-3g-2-white
Планшетный ПК Samsung Galaxy Tab A T280N 7.0 (SM-T280NZKA) 8GB Black,,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-samsung-galaxy-tab-a-t280n-70-sm-t280nzka-8gb-black
Планшетный ПК Prestigio MultiPad Wize 3797 3G (PMT3797_3G_C_DG_CIS***),,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-prestigio-multipad-wize-3797-3g-pmt3797-3g-c-dg-cis
Планшетный ПК Asus MeMO Pad 8 (ME180A-1A015A),,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-asus-memo-pad-8-me180a-1a015a
Планшетный ПК Huawei M5 Lite 8 Space Grey (JDN2-L09),,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-huawei-m5-lite-8-space-grey-jdn2-l09
Планшетный ПК LG V500 G Pad 8.3 Black (LGV500.ACISBK),,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-lg-v500-g-pad-83-black-lgv500acisbk
Планшетный ПК Digma Optima 7.13 (TT7013AW***),,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-digma-optima-713-tt7013aw
Планшетный ПК Lenovo Tab 3 TB3-730X (ZA130004RU***),,Нет цены,http://nix.dn.ua/planshetnie-pk/planshetnyj-pk-lenovo-tab-3-tb3-730x-za130004ru
Системы охлаждения DeTech X1; Black,,"
																							650р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sistemy-ohlazhdeniya-detech-x1-black
Системы охлаждения DeTech DX-5218; Black,,"
																							700р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sistemy-ohlazhdeniya-detech-dx-5218-black
Система охлаждения DeTech X6; Black,,"
																							700р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sistema-ohlazhdeniya-detech-x6-black
"Сумка для ноутбука DeTech DT6020S-15.6; 15.6""; Black",,"
																							800р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sumka-dlya-noutbuka-detech-dt6020s-156-156-black
Система охлаждения DeTech DX-007; Black,,"
																							800р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sistema-ohlazhdeniya-detech-dx-007-black
"Сумка для ноутбука Defender Lite; 15.6""; полиэстер; Black/red (26083)",,"
																							900р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sumka-dlya-noutbuka-defender-lite-156-poliester-black-26083
Системы охлаждения DeTech DX-738; Black,,"
																							950р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sistemy-ohlazhdeniya-detech-dx-738-black
Системы охлаждения HAVIT HV-F2035; 2xFan 140mm; 1000 об/мин.; Black,,"
																							990р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sistemy-ohlazhdeniya-havit-hv-f2035-notebook-cooler-15-black
"Сумка для нетбука Binshi; 13""; Gray (611)",,"
																							1 050р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sumka-dlja-noutbuka-binshi-13-gray-611
"Сумка для нетбука Laccoma 712; 14.0"", Red",,"
																							1 100р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/sumka-dlja-noutbuka-laccoma-712-140-red
БП для ноутбука Samsung 19V - 4.74A; 90W; 5.5mm/3.0mm,,"
																							1 200р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/bp-dlya-noutbuka-samsung-19v-474a-90w-55mm30mm
БП для ноутбука Dell 19.5V - 4.62A; 90W; 7.4/5.0mm,,"
																							1 200р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/bp-dlya-noutbuka-dell-195v-462a-90w-7450mm
БП для ноутбука Asus 19v - 4.74A,,"
																							1 200р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/bp-dlya-noutbuka-asus-19v-474a
БП для ноутбука Lenovo 20V - 4.5A; 90W; 5.5х2.5 мм,,"
																							1 200р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/bp-dlya-noutbuka-lenovo-20v-45a-90w-55h25-mm
БП для ноутбука Asus 19V - 2.37A; 4.0/1.35mm 45W,,"
																							1 200р.																																",http://nix.dn.ua/noutbuki-netbuki-i-aksessuari/bp-dlya-noutbuka-asus-19v-237a-40135mm-45w
